promo_id,start_date,end_date,discount_rate,promotion_name,promotion_type,target_segment,channel,budget
promo_41,2024-01-14,2024-06-12,0.26,Loyalty Love,Flash Sale,All,Online,31300.0
promo_42,2023-12-28,2025-04-30,0.48,Clearance Blowout,Percentage,High Spenders,Online,41500.0
promo_43,2024-02-07,2024-04-11,0.32,Weekend Flash,Flash Sale,Loyal Users,Online,47500.0
promo_44,2024-01-11,2024-11-05,0.13,Weekend Flash,Percentage,All,Online,8000.0
promo_45,2023-10-04,2024-10-19,0.26,Loyalty Love,Percentage,All,Online,21600.0
promo_46,2024-02-07,2024-04-08,0.21,Payday Boost,Percentage,High Spenders,Both,43400.0
promo_47,2024-04-18,2025-03-29,0.39,Payday Boost,BOGO,New Users,Online,41900.0
promo_48,2024-06-13,2025-03-09,0.32,Loyalty Love,BOGO,New Users,Both,31300.0
promo_49,2023-11-09,2024-07-23,0.17,Payday Boost,Percentage,New Users,Both,54800.0
promo_50,2024-01-24,2024-07-15,0.15,Easter Deal,Percentage,New Users,Online,51100.0
promo_51,2024-03-18,2024-11-16,0.11,Weekend Flash,Percentage,High Spenders,In-store,14300.0
promo_52,2024-02-14,2025-06-09,0.14,Cyber Week,Percentage,High Spenders,Online,63000.0
promo_53,2023-06-25,2023-11-28,0.12,Summer Splash,Percentage,Loyal Users,Online,36200.0
promo_54,2024-02-12,2024-11-27,0.09,Holiday Cheer,Percentage,New Users,Online,50700.0
promo_55,2024-03-08,2024-09-25,0.3,Easter Deal,Percentage,Loyal Users,In-store,49900.0
promo_56,2024-01-21,2025-03-18,0.3,Back to School,Free Shipping,New Users,Online,83800.0
promo_57,2024-05-12,2025-05-10,0.07,Easter Deal,Percentage,New Users,Both,50200.0
promo_58,2023-12-31,2024-04-14,0.12,Cyber Week,Flash Sale,All,Both,50200.0
promo_59,2024-04-23,2024-06-10,0.43,Back to School,Percentage,Loyal Users,Online,74500.0
promo_60,2023-10-28,2025-03-25,0.29,Holiday Cheer,Free Shipping,Loyal Users,Both,15500.0
promo_61,2023-11-02,2024-03-25,0.19,Cyber Week,Free Shipping,New Users,Online,18400.0
promo_62,2024-02-08,2025-05-17,0.29,Spring Saver,Percentage,Loyal Users,Online,60600.0
promo_63,2023-07-04,2025-05-13,0.2,Summer Splash,Percentage,New Users,Online,39500.0
promo_64,2023-09-11,2025-03-23,0.34,Holiday Cheer,BOGO,All,Online,66900.0
promo_65,2024-01-27,2024-07-21,0.45,Weekend Flash,Flash Sale,All,In-store,14200.0
promo_66,2023-09-09,2024-07-22,0.4,Payday Boost,Percentage,All,Online,51500.0
promo_67,2024-05-18,2024-08-29,0.2,Spring Saver,Percentage,All,Online,31200.0
promo_68,2023-10-27,2023-12-13,0.42,Clearance Blowout,Free Shipping,All,Both,45300.0
promo_69,2024-03-21,2024-05-10,0.25,Holiday Cheer,Free Shipping,New Users,Online,49900.0
promo_70,2023-08-21,2023-09-29,0.23,Clearance Blowout,Percentage,All,Online,41300.0
promo_71,2023-12-13,2024-09-15,0.45,Back to School,Percentage,New Users,Online,54000.0
promo_72,2023-08-27,2023-09-06,0.17,Spring Saver,Flash Sale,All,In-store,37700.0
promo_73,2023-09-04,2025-01-31,0.37,Summer Splash,Percentage,New Users,Online,39300.0
promo_74,2023-07-08,2024-08-31,0.32,Weekend Flash,Percentage,All,Both,67000.0
promo_75,2024-05-05,2025-01-01,0.23,Loyalty Love,Free Shipping,All,In-store,4800.0
promo_76,2023-11-13,2025-01-28,0.28,Weekend Flash,BOGO,All,Online,51000.0
promo_77,2024-02-05,2024-11-21,0.43,Cyber Week,Free Shipping,New Users,Online,55400.0
promo_78,2023-12-21,2024-08-27,0.13,Weekend Flash,Percentage,All,Online,51400.0
promo_79,2023-11-09,2025-01-29,0.45,Mega Monday,Percentage,High Spenders,Online,59400.0
promo_80,2024-06-05,2025-05-28,0.06,Black Friday,BOGO,All,Online,54100.0
promo_81,2024-04-11,2024-06-08,0.18,Loyalty Love,Percentage,All,Online,71500.0
promo_82,2024-05-30,2024-06-26,0.18,Easter Deal,Percentage,High Spenders,Online,27900.0
promo_83,2024-04-24,2024-06-10,0.48,Payday Boost,Flash Sale,New Users,Online,26200.0
promo_84,2023-11-25,2024-08-09,0.07,New Year Bash,Percentage,All,Online,29700.0
promo_85,2023-06-29,2025-05-11,0.26,Summer Splash,Percentage,New Users,Online,26100.0
promo_86,2023-08-15,2025-02-05,0.42,Spring Saver,Flash Sale,New Users,Online,59400.0
promo_87,2024-06-21,2024-07-19,0.35,Black Friday,Flash Sale,Loyal Users,Online,80600.0
promo_88,2024-05-27,2024-08-08,0.33,Summer Splash,Percentage,All,Online,15700.0
promo_89,2024-04-01,2024-07-21,0.25,Spring Saver,Flash Sale,All,Online,11700.0
promo_90,2024-03-18,2024-08-07,0.18,Payday Boost,Percentage,New Users,Online,21800.0
promo_91,2023-09-28,2025-06-17,0.34,Fall Fiesta,Percentage,Loyal Users,Both,64500.0
promo_92,2024-04-02,2024-08-25,0.26,Fall Fiesta,Free Shipping,New Users,Online,49600.0
promo_93,2024-03-03,2024-12-28,0.45,Clearance Blowout,Free Shipping,All,Both,14100.0
promo_94,2023-10-10,2024-03-13,0.06,Summer Splash,Flash Sale,New Users,Online,59800.0
promo_95,2023-08-08,2024-12-03,0.31,Fall Fiesta,Percentage,Loyal Users,Online,67900.0
promo_96,2024-03-18,2024-12-24,0.36,Mega Monday,Flash Sale,All,Both,6400.0
promo_97,2024-02-25,2024-09-14,0.12,Loyalty Love,Flash Sale,All,Online,46500.0
promo_98,2024-04-01,2025-04-23,0.34,Spring Saver,Flash Sale,New Users,Online,68300.0
promo_99,2024-04-01,2025-01-21,0.32,Clearance Blowout,Free Shipping,All,Online,34700.0
promo_100,2023-05-23,2023-06-13,0.32,Weekend Flash,BOGO,All,Online,9300.0
promo_101,2023-02-22,2023-04-05,0.34,Spring Saver,Percentage,All,Online,10000.0
promo_102,2025-03-08,2025-04-05,0.4,Clearance Blowout,Percentage,All,Online,12000.0
promo_103,2024-04-17,2024-06-08,0.17,Payday Boost,Flash Sale,All,Both,68600.0
promo_104,2024-03-03,2024-03-12,0.32,Summer Splash,Flash Sale,High Spenders,Online,73900.0
promo_105,2024-01-30,2024-03-28,0.4,Payday Boost,Percentage,Loyal Users,Online,13500.0
promo_106,2024-07-03,2024-08-15,0.37,Loyalty Love,Percentage,All,Online,22100.0
promo_107,2024-09-23,2024-10-21,0.26,Loyalty Love,Percentage,High Spenders,Online,16700.0
promo_108,2023-03-17,2023-03-23,0.06,Black Friday,Percentage,New Users,Online,18300.0
promo_109,2023-09-06,2023-09-13,0.17,Payday Boost,Flash Sale,All,Online,68300.0
promo_110,2025-06-14,2025-07-11,0.21,Cyber Week,Percentage,All,Online,29500.0
promo_111,2023-06-06,2023-07-12,0.26,Weekend Flash,Percentage,All,Online,27900.0
promo_112,2025-05-01,2025-06-02,0.18,Holiday Cheer,Percentage,All,Online,21500.0
promo_113,2024-01-12,2024-02-02,0.08,Payday Boost,Percentage,New Users,Online,50700.0
promo_114,2023-06-28,2023-08-07,0.18,Black Friday,Percentage,New Users,Both,33200.0
promo_115,2024-07-11,2024-08-18,0.45,Back to School,Free Shipping,All,Online,61200.0
promo_116,2024-09-13,2024-10-06,0.42,Mega Monday,Free Shipping,High Spenders,Online,19800.0
promo_117,2023-11-25,2023-12-17,0.06,Spring Saver,Percentage,Loyal Users,Both,64500.0
promo_118,2025-01-13,2025-02-11,0.44,Loyalty Love,Percentage,All,Online,50400.0
promo_119,2023-03-01,2023-04-15,0.06,Back to School,Percentage,High Spenders,Both,12800.0
promo_120,2023-04-25,2023-06-01,0.44,Black Friday,BOGO,High Spenders,Online,35900.0
promo_121,2024-08-06,2024-08-17,0.15,Clearance Blowout,Percentage,High Spenders,In-store,70300.0
promo_122,2024-06-25,2024-08-19,0.08,Holiday Cheer,Percentage,All,Online,74900.0
promo_123,2024-10-17,2024-11-02,0.34,Weekend Flash,Flash Sale,Loyal Users,In-store,39800.0
promo_124,2025-03-08,2025-04-18,0.17,Weekend Flash,Percentage,New Users,Online,40900.0
promo_125,2025-05-22,2025-05-27,0.28,Weekend Flash,Flash Sale,Loyal Users,Online,74500.0
promo_126,2024-04-20,2024-05-08,0.4,Mega Monday,Percentage,High Spenders,Online,49100.0
promo_127,2024-04-15,2024-05-21,0.29,Holiday Cheer,Percentage,New Users,Online,6600.0
promo_128,2025-05-16,2025-07-06,0.32,Mega Monday,BOGO,Loyal Users,Both,74100.0
promo_129,2025-06-20,2025-07-25,0.3,Loyalty Love,BOGO,Loyal Users,In-store,23100.0
promo_130,2023-02-14,2023-02-22,0.35,Mega Monday,Flash Sale,Loyal Users,Online,48400.0
promo_131,2024-04-19,2024-06-15,0.13,New Year Bash,Percentage,All,Both,16700.0
promo_132,2025-05-12,2025-05-31,0.18,Holiday Cheer,Percentage,All,Online,6600.0
promo_133,2023-02-17,2023-03-14,0.17,Cyber Week,Percentage,All,Online,27900.0
promo_134,2025-07-05,2025-07-15,0.32,Holiday Cheer,Free Shipping,Loyal Users,Online,64000.0
promo_135,2024-12-03,2025-01-15,0.21,Black Friday,Percentage,All,In-store,25300.0
promo_136,2023-05-27,2023-06-25,0.28,New Year Bash,Flash Sale,New Users,Online,20900.0
promo_137,2024-08-24,2024-09-10,0.34,Weekend Flash,Percentage,All,Online,20400.0
promo_138,2024-02-09,2024-03-20,0.17,Black Friday,Percentage,New Users,Both,43600.0
promo_139,2023-11-10,2023-11-25,0.06,Black Friday,Flash Sale,Loyal Users,Online,78900.0
promo_140,2024-08-05,2024-09-08,0.42,Loyalty Love,Free Shipping,Loyal Users,Online,39300.0
promo_141,2024-11-20,2024-12-31,0.45,VIP Exclusive,Flash Sale,All,Online,46800.0
promo_142,2025-04-17,2025-06-05,0.2,Easter Deal,Percentage,High Spenders,Online,70100.0
promo_143,2024-01-27,2024-03-10,0.33,New Year Bash,Percentage,New Users,Online,45100.0
promo_144,2023-05-30,2023-07-05,0.14,Black Friday,Percentage,All,Online,18200.0
promo_145,2025-03-21,2025-03-27,0.36,Easter Deal,Flash Sale,Loyal Users,Online,27000.0
promo_146,2023-11-10,2023-11-27,0.3,Easter Deal,Percentage,All,Online,27800.0
promo_147,2024-12-13,2025-01-18,0.2,New Year Bash,Percentage,All,Online,34500.0
promo_148,2025-01-18,2025-02-21,0.18,VIP Exclusive,Percentage,Loyal Users,In-store,36800.0
promo_149,2023-02-24,2023-03-30,0.13,Back to School,Percentage,All,Online,65400.0
promo_150,2024-01-20,2024-03-05,0.37,Clearance Blowout,Percentage,All,Online,30900.0
promo_151,2023-03-21,2023-05-14,0.42,Cyber Week,Percentage,All,Online,40000.0
promo_152,2024-07-21,2024-08-22,0.48,Clearance Blowout,Percentage,All,Online,52000.0
promo_153,2025-01-15,2025-01-27,0.26,Holiday Cheer,Free Shipping,All,Online,33000.0
promo_154,2024-06-09,2024-07-08,0.26,Weekend Flash,Flash Sale,New Users,Both,68300.0
promo_155,2023-10-31,2023-11-18,0.07,Cyber Week,Percentage,Loyal Users,Online,49100.0
promo_156,2025-07-01,2025-08-04,0.44,Holiday Cheer,Percentage,Loyal Users,Online,26600.0
promo_157,2023-03-22,2023-04-28,0.28,Black Friday,BOGO,Loyal Users,Online,58900.0
promo_158,2023-05-13,2023-06-17,0.4,Weekend Flash,Percentage,Loyal Users,Online,44500.0
promo_159,2023-12-10,2024-01-15,0.44,Spring Saver,Percentage,New Users,Both,45100.0
promo_160,2025-06-08,2025-06-30,0.35,New Year Bash,Percentage,All,Online,41000.0
promo_161,2025-04-18,2025-05-02,0.48,Cyber Week,Percentage,All,Online,42200.0
promo_162,2024-06-13,2024-08-03,0.23,Cyber Week,Free Shipping,All,Online,62800.0
promo_163,2025-06-12,2025-07-09,0.13,Payday Boost,Percentage,All,Online,11900.0
promo_164,2025-04-28,2025-05-14,0.25,Black Friday,Free Shipping,New Users,Both,29700.0
promo_165,2024-07-04,2024-09-01,0.4,Back to School,Percentage,All,Online,9800.0
promo_166,2023-04-21,2023-04-27,0.13,Easter Deal,Percentage,Loyal Users,Both,61900.0
promo_167,2025-04-23,2025-05-17,0.29,Weekend Flash,Percentage,High Spenders,Online,24900.0
promo_168,2024-08-24,2024-10-08,0.35,Black Friday,Percentage,New Users,Both,72900.0
promo_169,2023-05-13,2023-06-09,0.25,Fall Fiesta,BOGO,All,Online,44500.0
promo_170,2025-02-27,2025-04-19,0.06,VIP Exclusive,Percentage,All,Online,65500.0
promo_171,2024-01-10,2024-02-03,0.07,Easter Deal,Percentage,High Spenders,Online,79200.0
promo_172,2025-01-08,2025-02-17,0.34,New Year Bash,BOGO,High Spenders,Both,68500.0
promo_173,2023-09-03,2023-10-01,0.33,Easter Deal,Percentage,All,Both,70600.0
promo_174,2023-01-10,2023-02-09,0.26,Back to School,Percentage,New Users,Online,35400.0
promo_175,2024-03-01,2024-04-02,0.17,Loyalty Love,Percentage,All,Both,46400.0
promo_176,2024-02-29,2024-04-27,0.32,Payday Boost,Percentage,All,Online,23500.0
promo_177,2025-03-21,2025-05-06,0.26,Easter Deal,Flash Sale,All,Both,19100.0
promo_178,2023-04-19,2023-05-14,0.17,New Year Bash,Percentage,All,Online,42800.0
promo_179,2025-05-06,2025-06-02,0.34,Back to School,Percentage,High Spenders,In-store,49700.0
promo_180,2023-05-24,2023-06-20,0.18,Clearance Blowout,Percentage,New Users,Both,30100.0
promo_181,2025-05-26,2025-07-10,0.32,Cyber Week,BOGO,All,In-store,47800.0
promo_182,2024-10-24,2024-11-30,0.42,Loyalty Love,Percentage,Loyal Users,Online,72200.0
promo_183,2023-12-04,2024-01-07,0.12,Payday Boost,Percentage,High Spenders,Online,46800.0
promo_184,2025-06-16,2025-07-14,0.34,Cyber Week,Flash Sale,High Spenders,Both,59400.0
promo_185,2023-12-03,2023-12-29,0.25,VIP Exclusive,Free Shipping,All,Online,65900.0
promo_186,2024-08-17,2024-09-21,0.32,Holiday Cheer,Flash Sale,All,Both,79900.0
promo_187,2023-01-16,2023-03-07,0.07,Loyalty Love,Percentage,All,In-store,50300.0
promo_188,2023-04-07,2023-06-04,0.33,Loyalty Love,Percentage,All,Online,66000.0
promo_189,2023-11-28,2023-12-06,0.23,Clearance Blowout,Percentage,All,In-store,77900.0
promo_190,2023-08-17,2023-09-04,0.48,Clearance Blowout,Percentage,New Users,Online,76500.0
promo_191,2023-08-02,2023-09-13,0.21,Weekend Flash,Percentage,All,In-store,14900.0
promo_192,2023-12-22,2024-01-04,0.29,Mega Monday,Free Shipping,All,In-store,35200.0
promo_193,2024-07-24,2024-08-31,0.13,Easter Deal,Percentage,All,Online,28900.0
promo_194,2023-04-28,2023-05-26,0.38,Loyalty Love,Flash Sale,All,Online,10700.0
promo_195,2024-12-06,2024-12-21,0.13,Cyber Week,Percentage,All,Both,52600.0
promo_196,2025-03-06,2025-04-07,0.26,New Year Bash,Free Shipping,All,Online,60500.0
promo_197,2025-02-22,2025-03-26,0.17,Summer Splash,Percentage,All,Online,69100.0
promo_198,2023-07-02,2023-08-15,0.18,Mega Monday,Percentage,All,Online,13500.0
promo_199,2025-04-05,2025-05-25,0.28,Summer Splash,BOGO,All,Online,71300.0
promo_200,2023-05-02,2023-06-28,0.46,Payday Boost,Percentage,New Users,Online,53400.0
